RegionID,CountyName,2012-03-31,2022-06-30,Percent Gain
61148,Ocean County,252436.85606203272,618943.2054312676,145.18733717677551
91982,Fort Bend County,265922.02656728675,487199.5150270288,83.2114177663849
91940,Harris County,118685.126170195,281693.3289761892,137.34509796302504
62080,Queens County,455407.49041611626,880043.0011594365,93.24297901980512
92593,Travis County,192956.71060468865,471061.5465342191,144.12809746704545
62093,Queens County,420904.8019583111,812299.7908397838,92.98895784996029
93144,El Paso County,126729.57542269849,189362.8902522448,49.422808070363104
62019,Kings County,300935.6914748393,680061.2102470974,125.98223790412581
95992,Los Angeles County,176775.58043182074,604552.9868619507,241.98897007447036
91733,Harris County,124904.5254689555,274262.0807646298,119.57737698847151
91926,Harris County,207271.01519845676,430603.1644544327,107.74885675266322
84630,Cook County,90184.67851444562,242095.61690010576,168.44428664379762
96193,Los Angeles County,302289.8757115036,722643.8869527933,139.05659600801945
96361,Los Angeles County,251412.5887478327,716959.6999940877,185.17255383468472
62085,Queens County,529499.8021038402,932112.3470066246,76.03639195011975
61807,Bronx County,265723.8011770118,605749.0959269913,127.96192634752796
62046,Kings County,379920.5624523665,672925.2553743673,77.12262032638388
62037,Kings County,491965.48103530536,1160735.4095579816,135.93838476539025
62018,Kings County,290381.2678933703,615266.8489950276,111.88241702317976
70829,Gwinnett County,113890.87967005157,360478.7865384118,216.512426265158
96816,San Bernardino County,158227.133792025,532945.571305612,236.82312163103444
96025,Los Angeles County,196891.6216296544,637833.7244126055,223.95168424807142
96817,San Bernardino County,273846.4478555053,686205.7626627329,150.58048699788444
74101,Davidson County,128606.32264149802,377834.956706506,193.79189836549156
96083,Los Angeles County,239955.5867327015,662174.5952787049,175.95714869365983
96107,Los Angeles County,343730.292522919,901221.8958351044,162.18867392230592
96239,Los Angeles County,242637.45480295643,681528.3881277066,180.88342283394346
90654,Dallas County,143480.72368135577,338816.20283869014,136.14057285572275
97771,Contra Costa County,178466.16777801848,626246.339239847,250.90479446994726
61639,New York County,82903.06864976378,1126364.8815961475,1258.6528218329793
62025,Kings County,547105.5526426217,1018449.6834622008,86.15232079859166
84620,Cook County,279119.72398503573,570334.253104331,104.33319615023264
96990,Orange County,468985.3685256845,985645.308982122,110.16547106376136
62031,Kings County,695968.3537324866,1154910.3470727091,65.94293991657969
92036,Galveston County,189581.11896006032,377572.18852319446,99.16128282940393
97223,Kern County,78052.88213893473,284053.4722894258,263.92438626905334
96125,Los Angeles County,268584.241935288,652121.2417212167,142.79951683775147
96368,Los Angeles County,303412.0979794437,808029.0243827695,166.31404277014488
61790,Richmond County,389087.489845206,684049.951427834,75.8087754761726
84639,Cook County,97045.46113674546,300119.89364597393,209.2570122605518
92341,Bexar County,128692.36249934428,278394.290146798,116.32541725093941
96882,Riverside County,213652.37026701323,603805.5355889095,182.61120381407432
62030,Kings County,656869.4156293903,1324838.4071939397,101.68976902730718
62044,Kings County,430875.3052453501,744434.8100517268,72.77267947111258
62032,Kings County,448045.3404316704,1304652.3829164652,191.18757973456314
96825,San Bernardino County,123317.88012909464,426113.1178810461,245.54041752499467
92551,Williamson County,252555.71893077125,576319.3561678124,128.19493401604137
61796,Bronx County,166031.5646644037,547601.3899207753,229.81764101761678
92481,Cameron County,82374.85249979827,128747.90771888754,56.295160248332856
96546,San Diego County,282537.01621844526,762177.7556028217,169.76208845270003
91968,Fort Bend County,306878.11908203654,517667.1297039304,68.68818515064751
62017,Kings County,340263.273802552,1081893.8659970248,217.95787241641196
61798,Bronx County,301346.639424641,547110.2132581909,81.55510687054104
93146,El Paso County,156491.84474283326,228175.245611326,45.806476999674814
84693,Cook County,74127.1600317468,254931.3161748106,243.91080956781556
84646,Cook County,273989.27630921506,593602.7805516262,116.65182978975648
62034,Kings County,610420.9824975253,1232983.7243143592,101.98907961348755
97970,Santa Cruz County,311663.46003282606,892493.3774074485,186.36445777552697
98432,Sacramento County,120604.50088350468,442239.4679115505,266.6857079726421
97023,Orange County,356461.07880642946,856093.3233059676,140.16459978534024
91922,Harris County,183251.0907662321,378744.3927165764,106.68056661104907
97431,Fresno County,146800.92137675718,385408.8529335728,162.5384427557102
62045,Kings County,520082.8268716314,955027.8962051276,83.62996177930921
62088,Queens County,468954.93308491627,893434.880688791,90.51614934755614
74126,Montgomery County,141667.76347419983,269521.63341700094,90.24909182397414
97104,Ventura County,263510.9749757279,656362.847313167,149.08368517615816
399727,Hidalgo County,80817.63994541824,169847.10126920327,110.16092697573549
96846,San Bernardino County,158590.913891238,523969.6744272472,230.39072767219614
96690,San Diego County,292350.82186610554,765902.7665956058,161.9807126611682
84633,Cook County,116012.8275232788,252607.85357259147,117.7413127198403
62039,Kings County,477696.7289334193,877515.4821190684,83.69719300325696
96468,San Bernardino County,330362.26634746,763709.6169994781,131.17337989086292
92045,Brazoria County,193382.55605844912,374948.0201105514,93.8892668257135
100179,Franklin County,179717.2395868404,414462.0126183519,130.6189509538296
62040,Kings County,655832.4962588288,1421627.2500600691,116.76682051738622
92271,Comal County,161107.9470485422,353816.99391156813,119.61486096335285
62043,Kings County,458898.38404997,1231393.2614505,168.33680488977535
70828,Gwinnett County,161254.45034275888,411684.2664469101,155.30102615577007
90769,Dallas County,44377.191049776775,204273.20047382545,360.31124467679206
97567,San Francisco County,512150.49782271305,1264256.9005935956,146.85261577764456
84619,Cook County,50156.341188124126,163921.21890279523,226.8205276137806
89925,Canadian County,144313.05371843986,244509.5530540972,69.42996267762751
62015,Kings County,606448.2722994465,1190312.9563637057,96.27608993763673
