City,2000-01-31,2007-03-31,Percent Gain
New York,83499.24171097507,183548.60126851205,119.82068041270199
Houston,48198.77802464404,62927.298085293616,30.557870270318645
Chicago,30183.4753823012,57722.00885272126,91.23711938939918
San Antonio,47862.18989529786,61795.07590846869,29.11042316210366
Philadelphia,15292.506265872144,34625.34236634906,126.42032485951282
Phoenix,54700.53482835888,121679.8334519941,122.44724632730745
Las Vegas,86169.1845000346,185588.3169816114,115.37666633196105
San Diego,116120.36596132466,295297.3420241655,154.30280001228894
Dallas,35576.56773349782,46042.76482947857,29.418793781295815
San Jose,209421.5545227677,435803.484067621,108.09867688201203
Jacksonville,34345.81491410296,68736.63507780066,100.13103561440397
Fort Worth,55462.42203758884,70747.66363152287,27.55963593435331
Orlando,53255.32467314972,127085.71371376488,138.63475529206374
San Francisco,228110.15881709047,472124.5223574958,106.97215976955574
Tucson,57399.13069357828,115151.23251340997,100.61494158881557
Columbus,36111.41505753869,45782.84268312888,26.782189538072853
Louisville,46348.45763336287,60891.18111708434,31.376930811292468
El Paso,60329.612844026895,83752.96396418074,38.825628105241435
Denver,84320.41344327143,117956.74881987288,39.89109398666682
Seattle,147807.00418741198,286088.9209993993,93.55572665328683
Portland,103578.52893339048,189140.81921496056,82.60620339239775
Nashville,64461.20379184536,87507.33602483668,35.751942063338824
Washington,77070.53181958714,196943.6012266647,155.5368395376926
Sacramento,60007.25496210515,168659.65820709415,181.06544502594474
Boston,108048.9529291436,211136.7191613084,95.40838984322943
Detroit,1864.7590375572852,4255.67278860738,128.21569451579325
Pittsburgh,23255.17301941594,32852.94044383819,41.27153737540028
Baltimore,8541.677118212312,18444.663016867864,115.93725402638668
Omaha,60442.36638934332,78580.08245722967,30.00828251999783
Atlanta,31237.41653542616,48711.4640154962,55.93947713394556
Milwaukee,24769.251519061352,45114.46318016985,82.13898448022015
Oklahoma City,27735.37542429505,39327.3384748615,41.79486620690329
Mesa,77681.19841256848,155771.60122424763,100.52677405533493
Colorado Springs,104496.46389102124,145705.89076530436,39.436192709123816
Buffalo,20195.50212496204,29351.232200761267,45.33549113632864
Kansas City,20771.365244352797,29875.259759679902,43.829061827326065
Cincinnati,31277.809390148675,41092.95040280887,31.380525695484263
Virginia Beach,86169.46523545287,194071.04668572,125.22020550485324
Tampa,32675.237472658453,89480.41828253663,173.84779791550363
Tulsa,29385.058573388545,36698.0059552532,24.88661835946566
Minneapolis,49646.17974420612,103465.93687585424,108.40664359059585
Aurora,102812.47684166156,131695.1830281533,28.092608089748804
Spring,85402.17596363016,107062.82034650624,25.363105961258658
Honolulu,100034.56776161004,226938.91240737945,126.86049181338204
Knoxville,51144.26530115298,74302.68923813342,45.28058776603125
Arlington,75100.61521083575,94228.35250536531,25.46948149603141
Cleveland,11406.126563515532,16661.35356056479,46.07372158975518
Vancouver,121513.32259686886,213340.43979801636,75.5695879585089
Marietta,87101.06526608046,119300.3125014798,36.9676847660078
Columbia,46460.761624536186,62676.88893513133,34.90284434345414
Lexington,73098.67834006829,96508.82560625437,32.025404286077276
Naples,83687.52701049035,217504.0569737905,159.9002082431305
Henderson,115288.377679004,248366.1307855087,115.43032852542296
