RegionID,CountyName,2022-06-30,2023-02-28,Percent Gain
61148,Ocean County,618943.2054312676,658169.2910124811,6.337590466621479
91982,Fort Bend County,487199.5150270288,481907.5803682606,-1.0861945661983285
91940,Harris County,281693.3289761892,279778.1528521006,-0.6798798292629971
62080,Queens County,880043.0011594365,885657.4208077242,0.6379710583336085
92593,Travis County,471061.5465342191,431536.3755850999,-8.390659615483598
62093,Queens County,812299.7908397838,816311.7117906477,0.4938965879476731
93144,El Paso County,189362.8902522448,198293.57277257773,4.71617353771725
62019,Kings County,680061.2102470974,674006.3086735415,-0.8903465573864788
95992,Los Angeles County,604552.9868619507,605660.3357247285,0.18316820640085218
91733,Harris County,274262.0807646298,273640.82077948324,-0.22652055414096317
91926,Harris County,430603.1644544327,427544.0845043549,-0.7104174336372115
84630,Cook County,242095.61690010576,233693.8176936264,-3.470446641727576
96193,Los Angeles County,722643.8869527933,699998.6574301776,-3.1336637493890707
96361,Los Angeles County,716959.6999940877,696601.7510819114,-2.8394830158995243
62085,Queens County,932112.3470066246,927665.9720750884,-0.47702135325373707
61807,Bronx County,605749.0959269913,585447.0572691716,-3.3515590521437044
62046,Kings County,672925.2553743673,669882.6998908193,-0.4521386973142305
62037,Kings County,1160735.4095579816,1119256.0113951548,-3.573544652921601
62018,Kings County,615266.8489950276,616891.985543065,0.26413523671751094
70829,Gwinnett County,360478.7865384118,349866.653159801,-2.943899551071094
96816,San Bernardino County,532945.571305612,528659.4500919905,-0.8042324478128804
96025,Los Angeles County,637833.7244126055,625990.7902251432,-1.8567431815194047
96817,San Bernardino County,686205.7626627329,663974.034494888,-3.2398049357057923
74101,Davidson County,377834.956706506,367767.8689521907,-2.6644140717067777
96083,Los Angeles County,662174.5952787049,660193.1297008111,-0.29923612171496305
96107,Los Angeles County,901221.8958351044,874569.6399197461,-2.957346691034557
96239,Los Angeles County,681528.3881277066,671567.7524148525,-1.4615144264522817
90654,Dallas County,338816.20283869014,331616.3946818903,-2.1249893294588484
97771,Contra Costa County,626246.339239847,577384.3748926012,-7.802355285071316
61639,New York County,1126364.8815961475,1205415.656381504,7.018220833850508
62025,Kings County,1018449.6834622008,1017579.3244035546,-0.0854592104822971
84620,Cook County,570334.253104331,550829.1909843684,-3.4199352421490414
96990,Orange County,985645.308982122,936673.5360508874,-4.968498554698931
62031,Kings County,1154910.3470727091,1144043.7201188274,-0.9409065371545733
92036,Galveston County,377572.18852319446,375918.3398002517,-0.4380218599816632
97223,Kern County,284053.4722894258,283631.59860142187,-0.1485191096604721
96125,Los Angeles County,652121.2417212167,650841.1700867059,-0.1962935038171909
96368,Los Angeles County,808029.0243827695,772273.3428014427,-4.425049163133654
61790,Richmond County,684049.951427834,688376.7678759192,0.632529311500396
84639,Cook County,300119.89364597393,292192.7144979777,-2.6413374507413545
92341,Bexar County,278394.290146798,274418.12443281687,-1.4282497359714208
96882,Riverside County,603805.5355889095,586691.965854434,-2.834285001674286
62030,Kings County,1324838.4071939397,1337139.0790749658,0.9284658275479307
62044,Kings County,744434.8100517268,747758.1757170662,0.44642803110033213
62032,Kings County,1304652.3829164652,1247215.6259461937,-4.402456755712613
96825,San Bernardino County,426113.1178810461,419340.44213691866,-1.5894079435541109
92551,Williamson County,576319.3561678124,525897.9066860342,-8.748873162451353
61796,Bronx County,547601.3899207753,538150.0777291089,-1.7259474438211075
92481,Cameron County,128747.90771888754,143611.9517915683,11.545076216023187
96546,San Diego County,762177.7556028217,726718.0685641699,-4.652416943158622
91968,Fort Bend County,517667.1297039304,516638.1413203992,-0.19877413969083824
62017,Kings County,1081893.8659970248,1029592.0946634412,-4.8342793112506115
61798,Bronx County,547110.2132581909,533872.5330047767,-2.4195637245702617
93146,El Paso County,228175.245611326,234887.32449431423,2.94163324553689
84693,Cook County,254931.3161748106,243316.82266407632,-4.555930469825076
84646,Cook County,593602.7805516262,568709.2524707724,-4.193634008540304
62034,Kings County,1232983.7243143592,1211706.0433441894,-1.7257065564269314
97970,Santa Cruz County,892493.3774074485,821672.3867424004,-7.93518388570813
98432,Sacramento County,442239.4679115505,422747.7419372282,-4.407504844913735
97023,Orange County,856093.3233059676,822421.0128865814,-3.9332523105488293
91922,Harris County,378744.3927165764,377468.25230998686,-0.33693974911056523
97431,Fresno County,385408.8529335728,375795.00982882857,-2.494453106504335
62045,Kings County,955027.8962051276,928180.4690569472,-2.8111667999291545
62088,Queens County,893434.880688791,888612.6251714242,-0.5397433681623376
74126,Montgomery County,269521.63341700094,274935.30202439666,2.0086211777366803
97104,Ventura County,656362.847313167,619957.3025785232,-5.546557804676255
399727,Hidalgo County,169847.10126920327,175351.37699413046,3.240723971027948
96846,San Bernardino County,523969.6744272472,518342.1196878658,-1.0740229853059557
96690,San Diego County,765902.7665956058,721149.0738736525,-5.843260355473179
84633,Cook County,252607.85357259147,244156.13771447388,-3.3457850730237992
62039,Kings County,877515.4821190684,885713.1866237692,0.9341948571556458
96468,San Bernardino County,763709.6169994781,730865.3418871892,-4.3006234806011845
92045,Brazoria County,374948.0201105514,377056.0810147992,0.5622275065291005
100179,Franklin County,414462.0126183519,406122.9510550319,-2.012020718289287
62040,Kings County,1421627.2500600691,1413170.3894779235,-0.594871868261404
92271,Comal County,353816.99391156813,343699.8039029722,-2.8594415143113783
62043,Kings County,1231393.2614505,1178414.8319330188,-4.3023160168244035
70828,Gwinnett County,411684.2664469101,401514.6189828661,-2.470254098320135
90769,Dallas County,204273.20047382545,207688.2637601877,1.6718117102198393
