RegionID,CountyName,2007-03-31,2012-03-31,Gain
61148,Ocean County,366745.1795178277,252436.85606203272,-114308.32345579498
91982,Fort Bend County,258284.8487675364,265922.02656728675,7637.177799750352
91940,Harris County,138063.86592061052,118685.126170195,-19378.739750415523
62080,Queens County,607515.2747084924,455407.49041611626,-152107.7842923762
92593,Travis County,204506.13186630615,192956.71060468865,-11549.421261617506
62093,Queens County,507569.7764780514,420904.8019583111,-86664.97451974027
93144,El Paso County,133649.5929708524,126729.57542269849,-6920.0175481539045
62019,Kings County,427103.0825915988,300935.6914748393,-126167.3911167595
95992,Los Angeles County,393670.5962947487,176775.58043182074,-216895.01586292798
91733,Harris County,138734.4294024453,124904.5254689555,-13829.903933489797
91926,Harris County,220018.9599122265,207271.01519845676,-12747.944713769743
84630,Cook County,193960.50943633815,90184.67851444562,-103775.83092189253
96193,Los Angeles County,541677.2054527358,302289.8757115036,-239387.32974123216
96361,Los Angeles County,495808.6513366727,251412.5887478327,-244396.06258884002
62085,Queens County,595016.7201363393,529499.8021038402,-65516.91803249915
61807,Bronx County,347468.6665532218,265723.8011770118,-81744.86537621001
62046,Kings County,475655.10399996745,379920.5624523665,-95734.54154760094
62037,Kings County,585959.5853423426,491965.48103530536,-93994.10430703725
62018,Kings County,377719.1439229719,290381.2678933703,-87337.87602960161
70829,Gwinnett County,210751.9466131476,113890.87967005157,-96861.06694309603
96816,San Bernardino County,383516.6822401746,158227.133792025,-225289.5484481496
96025,Los Angeles County,411662.1856935178,196891.6216296544,-214770.5640638634
96817,San Bernardino County,545809.7369084252,273846.4478555053,-271963.28905291995
74101,Davidson County,155858.3484114419,128606.32264149802,-27252.02576994388
96083,Los Angeles County,479860.8054005832,239955.5867327015,-239905.2186678817
96107,Los Angeles County,563704.2922858918,343730.292522919,-219973.99976297282
96239,Los Angeles County,470821.8709114324,242637.45480295643,-228184.41610847594
90654,Dallas County,161755.53911527866,143480.72368135577,-18274.815433922893
97771,Contra Costa County,399943.7419198385,178466.16777801848,-221477.57414182
62025,Kings County,525476.5722270998,547105.5526426217,21628.980415521888
84620,Cook County,396925.2781403331,279119.72398503573,-117805.55415529734
96990,Orange County,744069.6393975144,468985.3685256845,-275084.2708718299
62031,Kings County,719911.6508727544,695968.3537324866,-23943.297140267794
92036,Galveston County,196110.01847900628,189581.11896006032,-6528.899518945953
97223,Kern County,210886.5995445868,78052.88213893473,-132833.71740565205
96125,Los Angeles County,528921.4713698449,268584.241935288,-260337.22943455685
96368,Los Angeles County,590014.0100164117,303412.0979794437,-286601.912036968
61790,Richmond County,457993.3768735414,389087.489845206,-68905.88702833542
84639,Cook County,204006.84107403024,97045.46113674546,-106961.37993728477
92341,Bexar County,141067.5563228298,128692.36249934428,-12375.193823485519
96882,Riverside County,481955.6386560405,213652.37026701323,-268303.2683890272
