City,2012-03-31,2022-06-30,Percent Gain
New York,675329.2816392487,1322098.839998845,95.77099289840825
Los Angeles,715248.5194033753,1790872.1107365105,150.3845953054704
Houston,242989.8036986492,454035.20664484793,86.85360444503785
Chicago,386799.2258858264,536911.1984783587,38.80875724318065
San Antonio,203900.22222735756,398436.4558647263,95.4075633230318
Philadelphia,223424.01127725584,387675.6501593501,73.51566107112264
Las Vegas,227996.17911558264,604333.7070581411,165.06308544397763
San Diego,669227.6603057937,1676324.5190414574,150.48643659998834
Dallas,281951.926149482,688135.8600421329,144.06141480917034
Jacksonville,193952.55165809335,441390.8885326996,127.57673707268341
Charlotte,271852.1293228872,628674.5635538691,131.25607480792354
Indianapolis,162661.8776662801,335806.3393130517,106.44440119030088
Fort Worth,203549.82448227075,450145.61354659934,121.14763041016876
Orlando,212387.174032146,521328.7279374921,145.4614928199883
San Francisco,1098084.250871111,2351062.3044990725,114.10582135514402
Tucson,232464.6555112513,491132.9745534812,111.27210649436141
Columbus,171323.35150286974,356098.644585745,107.8517852131676
Miami,367643.8636284276,881993.2240818684,139.904241941404
Louisville,219004.95865323124,380189.29337725934,73.59848640653139
El Paso,196122.4757783849,285080.32137400337,45.35831257613705
Denver,419346.7668981194,978138.8509118486,133.2529849096197
Seattle,614941.9653250684,1419580.806719567,130.8479314741763
Portland,427069.17934848,854212.721065232,100.01741225353355
Nashville,291845.9129420219,753688.003432117,158.24860654527814
Washington,709737.2703537061,1194073.605023169,68.2416374200115
Sacramento,264300.04588207154,683925.7079583863,158.76866788874798
Boston,645611.2447633649,1243955.7956607502,92.67876849274765
Pittsburgh,210018.3531558265,399326.1299668129,90.13868262766846
Albuquerque,258812.9232547637,445631.8248913397,72.18298811635458
Memphis,127805.1512510612,283804.625953526,122.06039676446103
Fresno,224203.52877580168,516524.3468807852,130.3818988492806
Baltimore,192067.68294591445,321217.57982836064,67.2418675029335
Omaha,231386.7204796437,421797.7957466816,82.2912718899049
Atlanta,347368.5141133829,761132.2020211875,119.11375703232272
Milwaukee,153248.7641212193,274328.0436127218,79.00832361410049
Oklahoma City,189677.6430430829,308771.2916438265,62.78739375398765
Raleigh,353803.2879668789,713591.7922443263,101.69167910930459
Colorado Springs,334904.84603933245,654307.5663563398,95.3711850080233
Buffalo,130300.25467386952,304328.2633538687,133.55922374486258
Kansas City,193201.11470699272,378145.3332369384,95.72626887294653
Cincinnati,228890.14650328795,403135.7698756542,76.12631038700621
Long Beach,558336.6394243141,1178927.920138796,111.15001898395147
Virginia Beach,392043.4427663638,604715.4561059024,54.24705278549433
Bakersfield,238831.30077498927,514394.7675387632,115.3799631244278
Oakland,613881.629789523,1606875.7896420255,161.75661750832373
Tulsa,200006.27473470577,340007.4070301131,69.99837004169443
Minneapolis,290400.0567952098,523986.7027849204,80.4361571301055
Aurora,300467.25870234513,660335.0960893921,119.76940147863044
Spring,257939.36373157435,472177.3762743383,83.05750989046852
Honolulu,887361.937833522,1581159.102038296,78.18649128659575
Knoxville,262199.8426224646,514995.2749608344,96.41326623615258
Arlington,207248.7350957432,419480.28030415,102.40426563296596
Baton Rouge,271996.603512529,383215.4611720999,40.8897964986713
New Orleans,291944.0009382437,569508.6393338831,95.07461619475235
Wichita,180599.02415099496,299318.74279177416,65.73663351664636
Cleveland,87040.5788968156,174177.29176234922,100.11044729933607
Riverside,324538.79758267646,800454.7424036944,146.6437752175926
Anaheim,517612.7758116095,1110952.5988718297,114.63005760046623
Vancouver,305299.106060598,658714.4698504024,115.76036639938803
Marietta,344951.3601921207,680145.133126927,97.17131503645035
Columbia,209687.9079538124,336996.31241759984,60.713278942069216
Greensboro,219649.42813944415,384191.0146999827,74.91100156931869
Fort Wayne,180061.1866051257,334678.4237471624,85.86927591514343
Lexington,264547.53054673923,446899.6708938728,68.92982140875297
Naples,502096.1611447923,1314013.0648974667,161.70545934895873
Henderson,280730.06140278536,688424.5255122845,145.22650765375212
Corpus Christi,196833.6506993758,344610.36034607526,75.07695412935207
Saint Louis,182367.6806322916,297134.3491531233,62.931473451283296
Santa Ana,419696.99860303104,954048.6359806828,127.3184319059347
Durham,284402.3805188652,588933.4689713232,107.07754551733002
Silver Spring,460562.0290379344,717624.8091509705,55.81501815293224
Saint Paul,253606.9987065591,430677.95133824815,69.82100396865327
Spokane,264774.4902201645,585064.2230359311,120.96699064529983
Newark,280808.9162008958,509942.5496783676,81.59770586256793
