"BIS Statistics Explorer"
"Table E2-USD","Total credit to non-bank borrowers by currency of denomination: $(DESC:MEAS)"
"Dataset","Global liquidity indicators (GLI)"
"Data updated",17/07/2023 16:38
"Data URL","http://stats.bis.org:8089/statx/srs/table/e2?m=USD&f=csv"
"Frequency","Currency of denomination","Borrowers' country","Borrowers' sector","Lending sector","Position type","Type of instruments","Unit of measure","Period",31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023
"Q:Quarterly","USD:US dollar","AR:Argentina","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:AR:N:A:I:B:771,2.386,-0.432,4.575,3.711,5.579,16.013,13.315,16.082,9.02,-4.274,-8.022,-10.158,-9.92,-8.958,-9.147,-8.241,-8.368,-10.49,-10.078,-9.666,-7.57,-33.414,-31.197,-30.818,-30.201,1.314,1.949,5.206,5.026,9.422,16.266,13.782,15.083,9.445,3.499,-13.715,-16.758,-17.719,-25.344,-13.81,-10.795,-5.021,7.765,16.354,21.863,17.746,14.889,8.052,0.807,-3.171,-9.268,-12.494,-13.051,-9.85,-9.44,-6.345,-4.222,-1.328,-0.06,-1.181,0.398,1.774,2.513,1.946,9.222,53.89,73.259,83.013,95.368,49.287,42.386,44.575,38.432,20.825,15.756,8.935,-2.06,-4.727,-7.142,-8.023,-10.503,-9.685,-11.214,-9.497,-8.994,-12.474,-10.237,-11.78,-17.304,-12.536,-11.837,-9.689,-6.566
"Q:Quarterly","USD:US dollar","BR:Brazil","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:BR:N:A:I:B:771,4.133,-4.225,4.276,-0.975,0.283,3.066,-5.461,-7.297,-6.41,-3.159,-1.07,0.007,-1.423,2.085,5.01,9.914,9.176,3.532,-1.728,-5.776,-5.486,-3.617,-0.149,2.066,2.958,-6.165,-3.97,5.768,6.374,20.018,16.874,6.756,9.083,10.406,15.933,10.542,6.029,4.769,0.843,2.642,5.356,10.49,22.371,20.59,24.468,23.4,16.47,24.074,19.84,11.692,8.042,5.356,2.351,7.073,1.496,2.879,2.543,-0.34,5.567,3.423,4.946,6.225,0.724,-4.492,-7.032,-10.748,-10.805,-5.442,-3.932,-5.628,-3.953,-3.503,-2.832,0.058,-0.527,-2.934,-3.604,-1.805,-1.115,-1.496,3.126,2.134,-2.913,-3.764,-8.982,-6.289,1.407,4.292,7.468,4.818,2.511,2.169,-4.073
"Q:Quarterly","USD:US dollar","ZA:South Africa","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:ZA:N:A:I:B:USD,6785.28,7882.28,7290.973,7100.31,7231.637,6996.637,6391.3,6241.3,6020.3,6865.3,7077.3,6716.3,6703.3,6535.3,6777.3,6666.3,6310.3,7519.3,7157,6968,6920,6963,6982,7182,6989,7284,8802,8670,7528,8538.18,8664.18,8346.18,8229.18,8466.18,8293.91,8101.91,9008.41,8638.41,10014.91,9999.41,11482.41,11510.41,12857.497,12692.497,17271.497,17416.967,17688.967,17997.967,20146.807,18620.15,20036.552,20809,21315.172,21548.296,23977.73,23838.223,24065.876,22564.598,23290.172,23034.409,25513.849,25387.277,25395.805,27212.553,26243.57,26762.708,27229.271,31188.746,31940.873,33369.91,37022.491,36745.376,36971.583,39808.645,43532.172,43274.315,44185.914,41848.645,47465.841,46381.195,44569.552,44562.279,44168.253,43680.178,40723.608,40536.519,39459.199,39347.798,39364.601,41345.041,40535.271,40550.583,41426.929
"Q:Quarterly","USD:US dollar","MY:Malaysia","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:MY:N:A:I:B:USD,13000.296,13076.963,13398.615,13788.457,13787.491,14617.723,15450.656,15357.296,16367.316,18576.381,18649.666,19721.076,19500.815,19370.789,18374.003,17804.462,20125.17,19726.505,20919.731,21486.784,21718.55,22470.095,23711.425,23595.045,24871.584,24842.806,25121.34,25219.75,24884.925,23953.04,23438.04,24528.15,27069.15,27993.15,26874.15,25451.15,25302.15,23397.15,27472.15,27163.42,27746.42,28844.92,29035.92,29255.65,30729.65,31014.65,31571.65,29778.65,26484.885,28422.794,27669.066,28566.291,28360.726,31669.127,31926.867,32906.13,32730.343,33490.652,31239.953,31273.055,36120.724,36393.14,34694.514,35477.946,35782.433,37222.33,36549.648,38233.496,38257.157,39078.984,38631.768,38653.658,41155.91,40656.796,40442.101,41203.109,41119.348,41674.265,38475.696,38264.479,36976.867,41555.73,42781.466,41433.653,40171.272,46368.534,45534.435,46071.848,45153.653,42300.437,41943.434,40574.512,39897.564
"Q:Quarterly","USD:US dollar","MX:Mexico","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:MX:N:A:I:B:USD,90942.606,90006.896,91706.371,90750.242,96835.999,93429.345,94719.175,91273.082,93630.203,91786.211,91782.85,93678.904,83975.098,80763.374,78236.51,84738.631,85815.561,85201.384,89179.408,88716.542,91726.637,90358.227,87954.759,108624.348,105058.878,111146.9,110893.817,105794.596,106148.325,107982.238,113978.187,101005.018,113479.24,113452.09,123250.4,120588.782,119740.95,115838.99,115544.03,121788.785,125867.231,128465.054,131710.973,133287.48,133745.35,138225.6,145033.37,147514.17,153202.735,156209.074,161127.679,160156.243,160685.077,170655.32,174929.604,185841.138,191824.904,195517.987,200332.011,209187.112,215841.946,216883.865,222069.404,225617.165,236013.825,241509.375,243386.318,240272.398,238412.886,240097.11,253958.002,250913.198,260121.308,260813.041,262631.74,268639.598,274035.382,280555.075,288553.506,288296.253,306456.297,312192.273,312211.263,308395.045,315908.816,320829.378,323913.03,329558.119,329281.253,331594.14,332709.184,329804.525,338578.696
"Q:Quarterly","USD:US dollar","3C:Developing Europe","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:3C:N:A:I:B:USD,84459.169,85903.538,103990.658,106570.692,107177.449,104565.691,105461.499,104756.034,107061.271,105667.094,108009.045,111445.771,118441.263,121507.524,127731.165,132382.676,142777.023,145373.631,145003.131,154712.294,162792.412,165972.266,169060.258,194243.83,204426.403,205522.49,203210.27,211231.847,226098.798,252781.287,282265.519,302966.705,319914.724,334300.538,342296.625,316843.568,306407.965,303967.247,289420.905,278649.096,281737.708,281797.078,296467.394,289270.804,297922.18,304075.439,307174.192,312785.552,312257.147,316454.625,326574.584,330386.283,371127.009,384948.214,394453.977,413298.79,424737.646,427756.834,423872.877,414771.64,405049.91,403475.036,391209.682,529269.62,535247.941,535490.271,527685.788,505558.988,503010.969,497040.607,490001.705,480413.393,472665.638,451707.364,443647.264,421778.821,421061.23,408186.395,407889.255,398999.981,394760.119,387206.211,392886.283,397710.484,403118.513,404333.276,413664.591,417846.873,354684.672,351391.217,333791.382,332770.212,342210.59
"Q:Quarterly","USD:US dollar","4T:Emerging market and developing economies","P:Non-financial sectors","A:All sectors","I:Cross-border & Local in FCY","D:Debt securities","771:Year-on-year changes, in per cent",Q:USD:4T:P:A:I:D:771,10.602,5.715,17.04,14.062,11.877,12.426,2.291,3.336,4.094,4.103,4.222,5.438,2.934,2.864,3.889,5.063,7.671,8.724,8.243,7.782,6.402,2.573,1.861,2.358,3.757,3.913,4.783,4.776,2.693,7.66,5.503,5.317,4.132,2.603,3.543,-1.428,0.804,2.272,6.181,14.855,16.309,17.526,15.486,12.731,12.543,12.083,11.33,12.521,12.95,12.844,14.504,14.364,13.873,14.939,14.468,14.556,13.549,11.951,10.507,8.507,8.141,7.349,6.24,3.76,4.243,6.944,7.785,12.585,13.845,13.077,14.814,13.749,12.616,12.058,8.682,6.962,7.286,4.66,8.308,9.199,8.951,13.852,12.787,13.211,13.94,9.911,11.356,9.434,7.223,5.762,1.981,0.929,1.303
"Q:Quarterly","USD:US dollar","BR:Brazil","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:BR:N:A:I:B:USD,88330.823,82167.92,87455.683,87022.068,89245.846,85322.905,83302.375,80664.296,83537.025,82638.449,82422.13,91709.222,93422.387,95706.261,98190.185,100608.463,102028.693,99119.785,96525.964,94813.092,96481.769,96648.405,97504.07,97831.018,100413.458,90670.022,93613.032,103524.323,106820.183,108820.023,109409.543,110518.884,116522.374,120143.779,126841.34,122670.168,124061.23,126396.57,128442.03,125918.979,130711.025,139475.129,156972.463,151887.51,162731.561,172382.098,183112.188,188434.628,194999.655,191000.018,196259.538,196961.509,198007.114,204506.166,199180.831,202501.191,202402.584,203164.065,209613.576,209309.912,212822.205,216631.741,211933.203,203834.391,201742.295,196780.7,192390.346,189530.654,190566.484,182597.962,181638.352,182821.824,185113.729,182648.331,180675.112,178201.626,179189.066,180102.804,179413.865,175535.75,184955.437,184109.825,174342.725,169079.749,168339.621,172528.883,176792.266,176333.108,189318.282,189245.893,190444.795,189315.336,182442.004
"Q:Quarterly","USD:US dollar","RU:Russia","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:RU:N:A:I:B:771,-7.718,-4.241,81.586,85.089,84.778,89.487,0.382,-0.09,2.215,7.85,7.073,11.671,21.027,14.231,15.614,13.627,5.762,7.307,7.381,9.583,7.874,5.213,3.457,11.444,9.331,11.128,1.221,-5.626,3.392,21.111,43.369,41.238,36.078,16.465,11.558,7.314,1.422,-1.274,-9.185,-12.978,-14.42,-9.516,-5.389,-2.401,2.44,-0.94,2.822,9.103,4.311,12.933,8.464,4.13,32.715,26.539,33.337,31.332,2.131,-3.669,-7.792,-10.967,-12.028,-12.555,-15.046,-10.799,-5.27,-4.561,-4.229,-8.251,-10.551,-9.859,-10.746,-11.397,-9.608,-13.721,-13.265,-15.601,-16.338,-14.499,-11.253,-5.754,-1.172,-4.932,-5.702,-6.315,-11.878,-5.532,-3.224,-0.666,0.91,-3.259,-6.073,-13.272,-13.232
"Q:Quarterly","USD:US dollar","SA:Saudi Arabia","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:SA:N:A:I:B:USD,11726,11327,11074,10562,10062,9411,9624,9987,9783,8578,9245,8627,8560,9194,8841,8733,8670,8973,9502,8471,9657,9455,9735,11232,11484,13240,13247,14068,16564,18396,21624,22118,23996,23454,25574,25596,26286,27306,26926.5,27132,27729,25273,26947,27628,28374,27978,29688,29464,29624.262,30899.848,29994.162,28032.385,27337.459,29695.747,29897.516,31949.689,33152.556,36057.081,37631.668,37727.132,38731.133,41786.495,42528.239,40845.386,41662.616,51533.313,53507.277,70971.373,69679.315,78217.289,79164.366,89863.129,92516.326,102047.561,104231.43,108691.515,119204.882,129126.821,128147.572,135716.794,143605.423,150966.069,144614.669,159758.995,165234.612,165325.53,166858.776,159972.992,161102.541,163154.926,159166.761,159568.375,158496.219
"Q:Quarterly","USD:US dollar","TW:Chinese Taipei","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:TW:N:A:I:B:771,4.226,-5.019,-13.856,-4.991,-10.679,1.897,5.598,6.608,2.648,18.79,45.262,16.927,14.696,-2.684,-5.701,23.551,45.005,58.594,32.722,18.978,7.29,-4.009,-3.625,-7.207,-14.93,-15.134,-5.847,0.015,2.986,9.289,-4.736,-8.896,-4.267,1.241,2.133,-13.358,-30.614,-36.077,-29.694,-10.302,12.958,31.995,36.326,42.456,42.903,37.774,32.123,16.499,8.834,0.502,6.216,16.612,12.873,9.145,8.521,3.95,2.047,-0.576,-5.77,-3.772,-2.221,-5.283,1.492,-14.578,-3.436,-2.69,-8.344,13.151,10.806,13.374,22.586,20.088,16.935,13.324,4.756,-2.508,-9.953,-8.456,-9.7,-7.275,-0.848,0.678,-1.452,7.219,15.942,18.582,27.116,12.52,7.259,8.561,-14.11,-21.354,-28.997
"Q:Quarterly","USD:US dollar","4T:Emerging market and developing economies","N:Non-banks, total","B:Banks, total","I:Cross-border & Local in FCY","G:Loans and deposits","USD:US dollar",Q:USD:4T:N:B:I:G:USD,577652.625,569889.335,559313.133,571817.836,576680.377,566448.884,556695.723,563552.133,539239.457,527298.766,545019.752,522129.662,536993.121,535922.539,546978.226,565065.275,617795.746,629699.837,619850.604,642542.46,660028.465,677239.658,725241.288,787450.252,808055.763,840308.003,861269.383,887675.581,915414.255,1011270.513,1079942.115,1167562.695,1313266.903,1402847.265,1437635.373,1310716.622,1255076.174,1248437.989,1246874.886,1291376.827,1519445.275,1534931.595,1621007.418,1721861.39,1774887.69,1851900.543,1923147.683,1905821.274,1946105.446,1946350.031,1992398.601,2058820.173,2174264.154,2220268.768,2249714.073,2321781.659,2486055.641,2512110.518,2514838.405,2455596.51,2467881.698,2519577.303,2459538.333,2718559.898,2690973.416,2702780.125,2671557.338,2655862.752,2691327.31,2683726.878,2734806.314,2764378.515,2823955.684,2793638.776,2753293.238,2730974.282,2737289.916,2752855.435,2751951.862,2780259.492,2895118.443,2870900.713,2812975.498,2765697.805,2870049.76,2908539.842,2927224.446,2918920.626,2909139.633,2905883.028,2782247.522,2675104.758,2641540.811
"Q:Quarterly","USD:US dollar","4Y:Developing Asia and Pacific","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:4Y:N:A:I:B:USD,303108.842,298918.776,294392.48,309396.953,310266.984,310222.107,304198.32,310525.103,303482.824,301963.599,321389.443,299529.868,307209.976,308552.632,320644.936,332996.541,379213.593,393990.687,391388.974,399390.623,407561.609,425499.841,454303.326,459625.012,474845.459,501642.557,518491.943,529061.112,525993.976,564679.377,574105.806,609415.104,679401.019,753028.253,746455.673,671738.927,638784.556,643024.23,670183.057,724814.143,961089.383,979463.317,1026200.057,1119418.545,1162294.467,1241936.462,1308515.034,1274144.687,1310395.576,1351546.735,1391200.545,1475895.88,1572231.868,1622004.995,1652705.088,1733106.51,1885681.841,1917838.503,1916907.342,1883585.13,1899617.362,1935501.575,1881349.028,1917643.872,1895658.386,1902259.433,1896190.337,1919320.499,1988250.408,2019653.975,2075234.051,2108093.407,2170663.599,2181156.315,2134447.811,2133089.923,2130167.901,2152413.665,2163963.32,2203929.683,2313949.848,2349878.929,2326854.522,2308516.46,2437389.104,2480789.598,2514288.086,2479508.894,2547247.485,2528906.51,2418214.281,2314212.856,2294558.214
"Q:Quarterly","USD:US dollar","4T:Emerging market and developing economies","P:Non-financial sectors","A:All sectors","I:Cross-border & Local in FCY","D:Debt securities","USD:US dollar",Q:USD:4T:P:A:I:D:USD,338503.638,337847.449,374546.441,371186.972,378707.024,379828.146,383128.643,383571.577,394211.749,395412.597,399306.029,404430.738,405779.444,406737.69,414833.435,424906.611,436907.526,442220.522,449027.677,457971.914,464880.439,453598.232,457384.25,468768.776,482347.414,471345.584,479259.698,491159.138,495336.217,507448.556,505631.288,517272.702,515802.746,520656.906,523547.495,509884.324,519951.825,532483.981,555908.294,585629.088,604748.336,625809.3,641998.098,660184.275,680600.569,701426.336,714738.073,742843.861,768738.69,791516.797,818401.091,849545.58,875383.586,909764.425,936808.836,973206.388,993988.23,1018487.69,1035235.027,1055997.634,1074905.48,1093340.462,1099831.802,1095705.659,1120517.051,1169262.78,1185451.936,1233595.63,1275650.784,1322167.836,1361065.117,1403197.873,1436590.271,1481596.327,1479238.963,1500885.59,1541255.337,1550634.906,1602127.989,1638956.424,1679208.554,1765421.502,1806997.73,1855478.491,1913293.13,1940393.991,2012192.187,2030530.621,2051485.508,2052203.272,2052046.576,2049384.746,2078214.63
"Q:Quarterly","USD:US dollar","TW:Chinese Taipei","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:TW:N:A:I:B:USD,7276.09,6530.98,6130.98,23290.98,24304.8,24887.33,24211.64,24844.15,24962.37,29580.35,35190.15,29050.4,28633.93,28789.5,33187.43,35897.43,42762.98,47024.71,45365.06,43984.55,45880.23,45139.48,43662.48,40755.28,38973.67,38242.67,41093.67,40750.67,40126.8,41794.89,39147.3,37125.55,38814.62,42754.32,40398.5,32501.1,26932.1,27329.8,28402.7,29152.9,30421.9,36073.9,38720.298,41530.069,43473.951,49700.336,51392.225,48585.419,45431.938,47960.66,52173.85,54172.379,51278.532,52346.797,56629.814,53582.917,49518.69,49251.028,50488.438,51188.563,48333.548,46567.013,51151.481,45768.358,48852.071,47430.465,48139.616,51238.841,53557.639,53204.182,59520.805,61268.877,61884.331,59577.291,61813.829,59473.29,55910.085,54655.368,55751.102,55080.679,55588.895,55243.796,55159.131,59290.646,64431.532,65489.356,70095.134,66693.837,69110.801,71097.689,60206.275,52453.387,49070.408
"Q:Quarterly","USD:US dollar","RU:Russia","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:RU:N:A:I:B:USD,23709.76,23271.09,44437.99,44613.99,43782.99,44067.99,44579.99,44615.99,44793.99,47570.99,47776.99,49822.99,54269.99,54397.99,55294.98,56673.98,60524.98,61577.88,62636.88,65512.88,65579.88,65183.88,65197.29,74536.29,72995.739,73602.069,67055.518,70438.108,75477.557,89139.857,96137.076,99485.076,102708.525,103860.425,107293.874,109242.874,106590.323,104876.323,99671.772,95075.139,91247.447,94628.447,94025.447,92498.474,93159.474,93715.474,96880.474,101066.474,97268.644,105724.468,104725.053,104975.599,128830.484,133757.271,140129.386,138483.5,132095.234,129349.281,129231.177,123082.468,116066.144,112960.184,109642.647,261613.582,264177.562,255365.985,252509.173,243972.012,233644.996,233896.218,226622.508,214924.589,200950.659,188123.681,180928.945,165235.506,160464.319,155852.013,156534.928,153985.795,155619.02,147479.451,147315.001,142524.275,140206.09,138845.287,143591.803,143572.051,76379.811,72811.387,72267.685,66900.857,66216.936
"Q:Quarterly","USD:US dollar","TR:T&uuml;rkiye","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:TR:N:A:I:B:USD,19706,20247,21622,32282.649,31582.468,32104.938,32357.906,33100.889,35194.133,32988.564,35783.624,36824.274,37998.828,39566.617,42788.598,43020.885,46472.786,47454.797,46985.333,46703.622,50586.467,50949.229,50804.491,56670.919,63805.426,64916.892,68203.36,72812.404,77583.387,81476.572,86584.281,91628.079,97390.585,97448.96,97538.163,95172.074,93480.691,90759.918,94519.786,93729.45,97916.958,93971.164,96370.468,99587.039,103701.853,105151.587,105420.151,104696.506,103533.758,98183.237,106246.623,114439.833,114639.094,123372.12,127134.39,143485.349,153340.29,162652.989,173679.662,180536.515,180185.876,187516.549,185494.007,184354.593,186357.957,190918.266,182427.974,179159.874,184622.195,185580.058,188644.891,193018.51,196398.511,193521.058,183536.739,178741.306,184101.5,179092.832,179509.17,176701.46,179418.168,173421.115,178405.522,187076.585,190523.136,194234.391,201929.931,203123.542,203010.644,199064.518,194643.874,195262.027,195770.797
"Q:Quarterly","USD:US dollar","3P:All countries excluding residents","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","D:Debt securities","USD:US dollar",Q:USD:3P:N:A:I:D:USD,1079430.821,1099828.23,1162193.104,1188902.56,1223895.735,1240332.297,1257495.239,1263082.025,1292236.209,1308614.272,1327867.145,1330650.892,1368179.418,1400581.381,1445531.033,1492945.708,1538951.66,1575204.516,1604204.907,1636099.28,1672240.134,1689558.305,1713032.537,1770197.2,1838555.035,1880115.79,1965363.881,2077641.218,2179536.626,2297222.531,2343900.506,2364822.857,2355679.463,2434406.201,2477150.472,2486639.206,2584111.569,2673503.901,2771032.035,2859826.494,2912146.994,2933170.095,3017240.16,3087375.667,3161065.319,3207451.599,3270975.311,3338834.599,3443547.724,3544057.886,3604991.522,3760634.094,3869174.692,3998813.304,4081250.761,4158378.611,4262151.533,4338632.235,4426728.143,4503383.032,4627203.948,4721888.127,4749519.644,4761764.11,4830007.1,4957077.251,5089415.663,5156160.188,5282003.872,5387661.147,5548572.391,5657224.072,5757810.319,5835310.065,5858885.861,5864886.286,5956196.579,6022516.38,6132361.043,6238939.221,6283900.066,6570570.982,6748156.962,6800742.994,6976015.497,7105386.196,7207768.838,7265075.017,7256300.082,7202109.573,7125419.977,7068818.993,7083803.749
"Q:Quarterly","USD:US dollar","4T:Emerging market and developing economies","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:4T:N:A:I:B:771,-5.47,-4.365,0.357,1.384,3.379,3.307,-0.039,-0.434,-2.06,-1.93,1.124,-1.523,0.354,1.219,1.062,6.331,9.233,10.974,8.367,8.675,6.302,5.197,9.661,11.187,12.622,14.684,12.718,11.719,10.952,16.482,18.864,21.409,27.313,26.203,23.295,7.64,-2.292,-8.065,-8.54,3.063,8.288,9.944,13.754,13.971,14.82,17.329,15.443,11.327,11.564,8.947,8.416,11.813,13.4,14.679,13.774,12.66,13.545,12.036,10.819,7.92,3.208,3.862,1.608,-0.198,-1.234,-1.451,-0.071,2.671,4.811,4.2,6.669,8.022,8.426,7.768,4.36,2.254,0.864,0.955,2.771,4.318,6.645,7.69,6.461,4.925,5.278,5.061,7.307,7.412,5.114,3.62,-0.863,-3.403,-5.038
"Q:Quarterly","USD:US dollar","4W:Developing Africa and Middle East","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:4W:N:A:I:B:771,-2.622,-2.384,-5.152,-5.822,-1.44,-3.277,-1.521,-2.686,-0.322,3.024,3.984,-1.105,-1.778,-4.397,-4.683,5.999,9.7,14.503,19.452,24.08,19.674,16.819,24.021,19.18,29.355,33.874,26.06,26.836,22.944,29.85,32.785,40.133,42.84,36.018,30.631,8.439,1.509,0.161,0.195,7.927,7.562,4.941,6.43,7.836,10.211,8.25,2.826,3.458,6.31,4.511,9.029,4.171,0.302,3.167,3.161,2.612,5.761,6.898,6.52,10.1,8.96,10.884,9.317,12.073,10.68,14.164,13.341,14.66,14.324,11.288,15.101,15.139,18.513,20.474,17.709,12.438,14.339,9.864,11.569,13.367,10.22,12.591,10.893,10.16,10.736,9.237,10.739,9.695,6.538,5.682,2.349,-1.553,-1.414
"Q:Quarterly","USD:US dollar","ID:Indonesia","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:ID:N:A:I:B:771,-22.315,-22.932,-17.838,-21.435,-23.071,-24.944,-24.386,-17.06,-19.913,-17.959,-17.389,-20.769,-20.892,-20.858,-21.88,-15.777,12.106,15.77,16.193,16.32,-6.706,3.79,9.814,33.519,58.468,43.75,38.603,12.713,10.248,5.583,8.09,13.155,16.272,37.538,39.02,31.884,39.681,23.507,31.465,42.69,27.374,23.167,20.946,16.738,7.682,26.563,26.157,28.961,34.98,31.439,28.011,28.954,21.363,17.398,18.154,17.186,21.798,15.248,16.705,12.881,13.588,14.311,8.438,8.151,2.919,-0.032,0.833,0.667,3.107,6.62,10.846,12.411,9.927,9.333,6.876,8.546,6.07,4.066,6.371,4.019,8.229,16.734,12.304,8.543,9.23,0.892,3.531,4.777,2.221,4.24,3.44,1.453,0.974
"Q:Quarterly","USD:US dollar","4U:Developing Latin America and Caribbean","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:4U:N:A:I:B:771,0.274,-0.97,2.941,2.699,4.37,4.677,1.154,-0.084,-2.969,-3.555,-3.197,-1.89,-1.719,-0.711,-0.048,0.396,1.251,0.949,-1.061,-2.12,-1.043,-3.614,-1.419,2.163,0.533,2.216,2.785,2.178,4.659,11.105,11.928,9.026,12.079,10.517,13.755,7.721,1.565,-2.829,-6.828,2.74,5.448,10.233,15.513,13.481,14.875,15.487,12.977,13.757,13.051,10.562,9.045,8.515,6.922,9.457,8.422,7.831,8.45,7.048,8.631,8.211,8.861,9.686,7.834,6.283,4.919,4.771,4.999,4.749,5.193,2.501,4.019,5.035,5.837,5.129,2.77,2.923,1.009,2.685,2.657,2.368,4.698,5.289,4.139,2.342,1.057,0.207,3.088,5.812,5.08,5.056,2.847,1.825,0.818
"Q:Quarterly","USD:US dollar","3P:All countries excluding residents","N:Non-banks, total","B:Banks, total","I:Cross-border & Local in FCY","G:Loans and deposits","771:Year-on-year changes, in per cent",Q:USD:3P:N:B:I:G:771,-2.278,-0.765,-1.51,1.209,5.207,6.069,3.922,2.247,-2.85,-4.72,0.799,-2.614,6.461,10.099,11.446,15.728,14.431,12.391,10.505,15.172,11.216,13.027,16.342,12.419,17.182,18.43,14.22,21.048,19.646,26.085,28.405,24.663,26.496,19.162,16.477,-0.865,-10.022,-12.967,-13.634,-2.428,0.856,0.737,7.578,10.174,13.582,19.197,14.328,8.466,6.408,3.09,3.145,8.176,10.618,9.957,7.466,5.901,5.196,6.47,8.617,7.55,6.529,7.176,4.944,2.08,0.464,0.676,1.808,2.462,2.934,1.251,1.352,3.165,2.894,3.008,1.814,3.739,3.37,3.605,5.168,2.241,7.888,2.679,-0.837,0.619,-3.596,1.279,5.462,3.933,2.645,1.278,-2.644,-5.323,-5.302
