"BIS Statistics Explorer"
"Table E2-USD","Total credit to non-bank borrowers by currency of denomination: $(DESC:MEAS)"
"Dataset","Global liquidity indicators (GLI)"
"Data updated",17/07/2023 16:38
"Data URL","http://stats.bis.org:8089/statx/srs/table/e2?m=USD&f=csv"
"Frequency","Currency of denomination","Borrowers' country","Borrowers' sector","Lending sector","Position type","Type of instruments","Unit of measure","Period",31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023
"Q:Quarterly","USD:US dollar","MY:Malaysia","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:MY:N:A:I:B:771,10.973,3.326,3.041,6.787,5.532,11.231,14.747,11.237,18.595,26.957,20.587,28.415,19.12,4.255,-1.498,-9.727,-8.659,-9.868,0.77,6.8,7.868,13.856,10.33,6.81,11.438,7.586,5.865,6.886,0.053,-3.582,-6.701,-2.742,8.777,16.812,14.607,3.544,-6.725,-16.556,2.056,6.728,9.66,23.258,5.67,7.68,10.729,7.522,8.382,1.469,2.207,8.918,4.497,14.37,7.32,11.421,15.334,14.821,15.035,5.411,-2.421,-4.815,10.53,8.836,11.231,11.719,-2.455,0.71,3.732,7.712,6.874,4.946,5.655,1.12,7.599,4.059,4.709,6.597,-0.087,2.504,-4.862,-7.132,-10.074,-0.284,11.191,8.282,8.643,11.586,6.439,11.198,12.403,-8.773,-7.889,-11.935,-11.644
"Q:Quarterly","USD:US dollar","3P:All countries excluding residents","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:3P:N:A:I:B:771,2.606,2.751,4.596,7.027,9.004,9.215,5.97,4.156,1.147,0.143,3.131,1.249,6.18,8.568,10.163,13.946,13.478,12.427,10.734,12.413,9.98,10.206,11.667,10.392,13.744,15.051,14.43,19.323,19.147,24.339,24.227,19.776,18.263,13.347,11.727,1.609,-2.141,-3.822,-3.345,5.039,6.089,4.761,8.214,9.194,11.323,14.731,11.695,8.317,7.505,6.289,6.19,10.156,11.382,11.277,10.102,8.063,7.471,7.417,8.546,7.901,7.479,7.956,6.055,3.833,2.34,2.734,4.362,5.253,6.015,4.832,5.079,6.396,5.917,5.651,3.715,3.705,3.409,3.403,4.912,4.339,6.689,5.941,4.698,4.932,3.708,4.862,6.183,5.48,3.379,1.323,-1.833,-3.892,-3.718
"Q:Quarterly","USD:US dollar","ZA:South Africa","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:ZA:N:A:I:B:771,0.897,13.366,6.506,11.053,5.978,-11.736,-12.833,-12.352,-16.991,-2.16,10.414,7.595,11.212,-4.92,-4.353,-1.041,-7.044,13.613,4.278,3.416,9.551,-7.572,-2.753,1.801,-0.146,3.515,24.909,20.718,7.712,17.218,-1.566,-3.735,9.314,-0.949,-4.375,-3.676,8.624,1.354,8.041,11.171,14.692,19.74,28.082,26.635,50.221,51.315,37.577,41.8,16.585,6.859,13.219,15.563,5.806,15.781,19.293,14.752,13.139,4.882,-2.36,-3.293,6.063,12.55,9.08,11.773,-2.682,-0.254,1.451,14.612,21.711,24.69,35.931,17.731,15.665,19.208,17.529,17.629,19.367,4.996,8.903,7.175,0.868,6.484,-6.947,-5.824,-8.486,-8.892,-10.522,-9.777,-3.335,1.997,2.641,2.97,5.148
"Q:Quarterly","USD:US dollar","4T:Emerging market and developing economies","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","D:Debt securities","USD:US dollar",Q:USD:4T:N:A:I:D:USD,369296.011,368641.061,403493.987,401768.462,408942.341,409726.184,412317.258,411356.623,421447.42,425440.246,430178.827,437677.539,438827.199,440166.613,450566.041,461809.749,473910.987,479748.09,487348.493,497782.607,506155.494,497435.767,503839.816,517557.828,539057.784,527993.064,537807.329,561145.871,567855.066,583396.868,583942.216,597570.465,594148.383,601057.758,605064.632,589681.815,598475.726,610228.357,639873.754,671281.313,691567.914,714653.318,739279.09,755549.181,780640.582,806715.159,822811.688,850812.735,885780.11,912045.845,944175.722,984374.724,1016230.749,1061402.02,1092838.047,1132361.801,1160397.851,1193276.252,1220822.932,1244750.245,1271329.059,1299578.407,1307526.143,1313554.308,1341151.713,1402187.145,1432856.087,1488321.975,1539029.409,1597395.739,1651579.84,1706021.886,1756499.117,1813569.338,1814746.054,1843711.095,1886635.185,1902392.454,1967549.565,2013753.696,2059558.872,2166139.218,2212688.21,2267036.196,2339381.101,2376621.091,2458694.487,2478317.989,2505328.638,2509189.984,2497625.188,2480101.131,2500028.554
"Q:Quarterly","USD:US dollar","3P:All countries excluding residents","P:Non-financial sectors","A:All sectors","I:Cross-border & Local in FCY","D:Debt securities","USD:US dollar",Q:USD:3P:P:A:I:D:USD,779145.827,789720.442,832219.959,846176.108,863668.585,871120.145,881716.628,883760.816,900973.498,906471.109,910295.5,907659.641,913238.954,923476.023,940404.859,952853.963,972626.804,987577.503,983968.673,997618.2,1009883.628,1005752.141,1007421.535,1015162.89,1035818.336,1029195.608,1043100.311,1048222.586,1073196.35,1096255.311,1104321.353,1097946.74,1110240.873,1137478.296,1164067.263,1161309.273,1208043.805,1265210.058,1315505.864,1366388.432,1412178.728,1444888.518,1495223.37,1535247.829,1601417.811,1637719.535,1681477.301,1725135.512,1792068.589,1853691.815,1895745.95,1975622.178,2045703.991,2111246.708,2162211.43,2212920.014,2273220.783,2317007.277,2376923.135,2427972.33,2471975.701,2500080.862,2521768.936,2525102.292,2575204.292,2635554.399,2659487.485,2724095.528,2775883.568,2821960.684,2887771.112,2930504.811,2970083.708,3007282.68,2987286.462,3002156.579,3032759.716,3053809.79,3095044.098,3120030.834,3160414.678,3344250.568,3450119.438,3494515.26,3567182.539,3630448.6,3705861.076,3717512.793,3730006.002,3711086.567,3698210.466,3689719.453,3724988.94
"Q:Quarterly","USD:US dollar","IN:India","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:IN:N:A:I:B:USD,9558.84,9584.84,10085.84,9536.84,9133.14,8837.84,8348.84,7898.84,7595.84,7287.84,7456.84,7361.84,7096.84,7330.84,7755.84,7623.84,9855.89,11025.89,11153.43,11904.93,13561.93,14043.93,15268.18,15990.7,19558.7,22953.2,23501.2,25306.2,28646.2,32991.7,34710.826,38930.517,43322.328,45739.155,45804.996,47136.852,48069.173,46261.69,48450.714,50510.533,52749.468,55782.421,59108.64,61636.107,61579.612,66599.134,70434.175,68195.415,72522.67,75620.488,75197.506,80726.285,81288.269,80527.221,77243.246,81955.719,84130.15,83930.534,83977.942,80785.669,80465.333,84443.07,86183.009,107381.484,110178.274,105937.818,103699.481,103760.215,103195.537,98378.602,103151.719,105441.541,105108.954,102469.571,104388.286,105357.249,110810.354,115302.394,121868.166,128176.577,136406.113,131905.654,124648.29,122123.924,127560.947,128708.981,132494.13,131789.861,135759.619,134150.472,133132.21,129873.605,125345.001
"Q:Quarterly","USD:US dollar","CL:Chile","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:CL:N:A:I:B:USD,20748.35,20115.35,20924.35,20292.35,20603.35,21039.35,20439.48,21181.48,20994.48,20997.48,21236,26958.74,29348.89,29443.5,30106.48,30391.48,31285.93,31759.93,32139.2,31745.2,32322.7,33248.7,33018.99,32934.99,32945.18,34695.18,35274.18,37021.18,37239.69,37441.69,37850.64,38730.64,40854.59,44259.59,47009.27,44947.27,45934.79,43320.79,43856.42,47526.42,46758.62,50298.62,52220.18,56441.18,60620.53,65174.41,66655.711,67392.331,69484.887,69211.794,71244.856,76229.705,76628.336,78897.77,79781.18,71023.76,73602.822,74106.984,77538.837,80362.62,82567.451,85756.981,87706.5,87076.932,88348.037,86897.338,87626.24,86730.059,87142.18,88601.875,94141.553,95638.228,98078.059,101158.561,101097.075,103136.773,104975.815,109889.799,112080.795,112735.164,117935.078,120919.921,119960.925,116175.227,118597.437,123064.061,132030.958,135872.727,144734.063,146096.294,145924.177,146160.645,148937.802
"Q:Quarterly","USD:US dollar","KR:Korea","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:KR:N:A:I:B:USD,29056.185,33661.163,32944.263,28333.755,31719.651,32312.328,33638.749,34155.582,37873.161,39386.945,42395.965,36096.443,32903.214,33732.026,34289.948,32503.443,33939.98,36229.07,37220.395,36446.674,53647.08,56489.053,59315.564,59252.083,60891.192,65591.322,71508.733,74863.437,74318.58,81563.93,81452.63,83600.03,85708.24,106778.68,112459.906,100151.326,92478.754,99733.774,102653.504,105427.554,109923.554,108843.994,109665.494,109646.544,122669.544,120490.494,125249.668,119567.668,116747.592,115474.985,115521.665,108069.954,116231.44,116589.689,117406.897,116869.72,124944.855,123500.01,127907.326,126288.201,125449.981,122505.273,120284.821,116787.191,116167.398,115796.249,116293.482,114832.165,116511.506,115121.373,115725.72,116139.865,118523.493,123428.927,125946.113,124114.018,120048.084,127063.026,127438.813,129300.463,132265.577,131684.615,130436.689,132601.325,141934.868,147273.169,149781.488,154088.098,164885.697,170280.259,170437.029,168874.04,171856.79
"Q:Quarterly","USD:US dollar","SA:Saudi Arabia","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","771:Year-on-year changes, in per cent",Q:USD:SA:N:A:I:B:771,8.534,1.797,-5.018,-18.259,-14.085,-16.813,-12.986,-5.832,-3.182,-9.235,-4.342,-13.638,-12.562,7.106,-4.437,1.158,1.238,-2.449,7.427,-3.022,11.384,5.361,2.42,32.977,19.263,40.452,36.512,25.249,44.235,38.943,63.237,57.222,44.868,37.878,27.898,24.161,17.529,15.505,4.458,6.001,5.414,-9.141,-1.757,0.068,0.63,10.807,10.276,6.634,3.785,7.216,-1.921,-7.639,-9.889,-3.897,-0.364,12.619,19.83,19.996,24.443,18.254,16.996,15.879,13.001,7.384,6.713,22.474,24.948,73.732,67.171,51.762,47.928,26.603,32.774,30.466,31.668,20.952,28.847,26.525,22.935,24.854,20.367,16.823,12.764,17.625,15.071,9.521,15.391,0.142,-2.503,-1.315,-4.594,-0.236,-1.584
"Q:Quarterly","USD:US dollar","CN:China","N:Non-banks, total","A:All sectors","I:Cross-border & Local in FCY","B:Credit (loans & debt securities)","USD:US dollar",Q:USD:CN:N:A:I:B:USD,16878,14750,14275,13881,13711,17525,13870,13545,12977,16756,16677,10139,13226,11972,11422.8,10666.8,13608.8,11039.8,12334.8,13035.8,14015.8,15076.8,16310.8,17278.8,15476.8,17051.8,16995.8,16076.8,17726.8,21844.8,21099.8,21368.3,30598.3,37089.8,35283,28308,26195,25492,26600,29925.4,287338.487,288169.472,294044.345,316412.571,333853.847,361886.145,380545.092,385296.955,406898.793,425057.227,453018.567,493748.263,568018.483,581540.302,584028.329,599634.596,675895.597,685353.426,667313.642,638005.553,640473.816,650229.354,595576.346,529447.985,492175.655,487139.855,485553.996,483576.549,503162.333,511778.986,508751.544,505823.074,523101.843,510430.499,486898.145,469653.653,477659.777,481114.548,474482.092,483851.173,506160.662,530078.713,527187.213,501033.97,545273.633,555144.495,556985.593,544760.818,566578.104,545328.106,503899.088,450817.301,455966.791
