Date,Open,High,Low,Close,Adj Close,Volume
2006-01-31,5843.33984375,5843.33984375,5843.33984375,5843.33984375,5843.33984375,0.0
2006-02-28,6608.72021484375,6608.72021484375,6608.72021484375,6608.72021484375,6608.72021484375,0.0
2006-03-31,6833.990234375,6833.990234375,6833.990234375,6833.990234375,6833.990234375,0.0
2006-04-30,7426.81005859375,7426.81005859375,7426.81005859375,7426.81005859375,7426.81005859375,0.0
2006-05-31,7143.22998046875,7143.22998046875,7143.22998046875,7143.22998046875,7143.22998046875,0.0
2006-06-30,6847.18994140625,6847.18994140625,6847.18994140625,6847.18994140625,6847.18994140625,0.0
2006-07-31,6750.14990234375,6750.14990234375,6750.14990234375,6750.14990234375,6750.14990234375,0.0
2006-08-31,6983.7099609375,6983.7099609375,6983.7099609375,6983.7099609375,6983.7099609375,0.0
2006-09-30,7089.259765625,7089.259765625,7089.259765625,7089.259765625,7089.259765625,0.0
2006-10-31,7671.06005859375,7671.06005859375,7671.06005859375,7671.06005859375,7671.06005859375,0.0
2006-11-30,7847.3701171875,7847.3701171875,7847.3701171875,7847.3701171875,7847.3701171875,0.0
2006-12-31,8805.5498046875,8805.5498046875,8805.5498046875,8805.5498046875,8805.5498046875,0.0
2007-01-31,10108.2998046875,10108.2998046875,10108.2998046875,10108.2998046875,10108.2998046875,0.0
2007-02-28,9667.7001953125,9667.7001953125,9667.7001953125,9667.7001953125,9667.7001953125,0.0
2007-03-31,10029.2998046875,10029.2998046875,10029.2998046875,10029.2998046875,10029.2998046875,0.0
2007-04-30,10382.5,10382.5,10382.5,10382.5,10382.5,0.0
2007-05-31,10900.5,10900.5,10900.5,10900.5,10900.5,0.0
2007-06-30,10615.5,10615.5,10615.5,10615.5,10615.5,0.0
2007-07-31,11228.7998046875,11228.7998046875,11228.7998046875,11228.7998046875,11228.7998046875,0.0
2007-08-31,10829.599609375,10829.599609375,10829.599609375,10829.599609375,10829.599609375,0.0
2007-09-30,11487.400390625,11487.400390625,11487.400390625,11487.400390625,11487.400390625,0.0
2007-10-31,11880.599609375,11880.599609375,11880.599609375,11880.599609375,11880.599609375,0.0
2007-11-30,10112.7001953125,10112.7001953125,10112.7001953125,10112.7001953125,10112.7001953125,0.0
2007-12-31,10545.0,10545.0,10545.0,10545.0,10545.0,0.0
2008-01-31,8898.8203125,8898.8203125,8898.8203125,8898.8203125,8898.8203125,0.0
2008-02-29,7858.31982421875,7858.31982421875,7858.31982421875,7858.31982421875,7858.31982421875,0.0
2008-03-31,7973.52978515625,7973.52978515625,7973.52978515625,7973.52978515625,7973.52978515625,0.0
2008-04-30,9040.7001953125,9040.7001953125,9040.7001953125,9040.7001953125,9040.7001953125,0.0
2008-05-31,9946.3095703125,9946.3095703125,9946.3095703125,9946.3095703125,9946.3095703125,0.0
2008-06-30,8088.5400390625,8088.5400390625,8088.5400390625,8088.5400390625,8088.5400390625,0.0
2008-07-31,7880.89013671875,7880.89013671875,7880.89013671875,7880.89013671875,7880.89013671875,0.0
2008-08-31,7209.2998046875,7209.2998046875,7209.2998046875,7209.2998046875,7209.2998046875,0.0
2008-09-30,7907.75,7907.75,7907.75,7907.75,7907.75,0.0
2008-10-31,5586.080078125,5586.080078125,5586.080078125,5586.080078125,5586.080078125,0.0
2008-11-30,4970.14013671875,4970.14013671875,4970.14013671875,4970.14013671875,4970.14013671875,0.0
2008-12-31,4661.4599609375,4661.4599609375,4661.4599609375,4661.4599609375,4661.4599609375,0.0
2009-01-31,4475.75,4475.75,4475.75,4475.75,4475.75,0.0
2009-02-28,3662.3701171875,3662.3701171875,3662.3701171875,3662.3701171875,3662.3701171875,0.0
2009-03-31,4199.1298828125,4199.1298828125,4199.1298828125,4199.1298828125,4199.1298828125,0.0
2009-04-30,5140.06982421875,5140.06982421875,5140.06982421875,5140.06982421875,5140.06982421875,0.0
2009-05-31,5819.60009765625,5819.60009765625,5819.60009765625,5819.60009765625,5819.60009765625,0.0
2009-06-30,5255.14990234375,5255.14990234375,5255.14990234375,5255.14990234375,5255.14990234375,0.0
2009-07-31,5255.77978515625,5255.77978515625,5255.77978515625,5255.77978515625,5255.77978515625,0.0
2009-08-31,4929.10986328125,4929.10986328125,4929.10986328125,4929.10986328125,4929.10986328125,0.0
2009-09-30,5291.66015625,5291.66015625,5291.66015625,5291.66015625,5291.66015625,0.0
2009-10-31,5174.93994140625,5174.93994140625,5174.93994140625,5174.93994140625,5174.93994140625,0.0
2009-11-30,4139.31982421875,4139.31982421875,4139.31982421875,4139.31982421875,4139.31982421875,0.0
2009-12-31,3854.139892578125,3854.139892578125,3854.139892578125,3854.139892578125,3854.139892578125,0.0
2010-01-31,3950.419921875,3950.419921875,3950.419921875,3950.419921875,3950.419921875,0.0
2010-02-28,3398.81005859375,3398.81005859375,3398.81005859375,3398.81005859375,3398.81005859375,0.0
2010-03-31,3325.39990234375,3325.39990234375,3325.39990234375,3325.39990234375,3325.39990234375,0.0
2010-04-30,2914.840087890625,2914.840087890625,2914.840087890625,2914.840087890625,2914.840087890625,0.0
2010-05-31,2221.5,2221.5,2221.5,2221.5,2221.5,0.0
2010-06-30,2045.469970703125,2045.469970703125,2045.469970703125,2045.469970703125,2045.469970703125,0.0
2010-07-31,2635.909912109375,2635.909912109375,2635.909912109375,2635.909912109375,2635.909912109375,0.0
2010-08-31,2153.080078125,2153.080078125,2153.080078125,2153.080078125,2153.080078125,0.0
2010-09-30,1987.3800048828125,1987.3800048828125,1987.3800048828125,1987.3800048828125,1987.3800048828125,0.0
2010-10-31,2062.820068359375,2062.820068359375,2062.820068359375,2062.820068359375,2062.820068359375,0.0
2010-11-30,1658.1700439453125,1658.1700439453125,1658.1700439453125,1658.1700439453125,1658.1700439453125,0.0
2010-12-31,1788.72998046875,1788.72998046875,1788.72998046875,1788.72998046875,1788.72998046875,0.0
