2000-01-31,2007-03-31,Percent Gain,State
371338.15577948606,779510.789593388,109.91938950014321,NY
437919.7737296138,1119677.25093933,155.68090735054497,CA
218020.10017387423,260397.09687477423,19.4371971515946,TX
323947.3321208051,595495.7613339624,83.82486975132508,IL
175014.98297988554,216824.5805881678,23.889153314997856,TX
121046.857018998,264370.9458235727,118.40380852026611,PA
224868.75849895945,479671.89419680205,113.31193243503486,AZ
276559.30979981174,591204.8469219328,113.77145009143904,NV
409453.9739560392,920407.3783339466,124.78897186934267,CA
254119.92131540217,311955.81009282195,22.759289581880715,TX
343918.56123413955,400245.3948118756,16.377956855718743,TX
568403.3854222324,1071571.9702363575,88.52315058615487,CA
162949.9799254874,320472.0389046376,96.66896494935489,FL
267180.4819310147,332438.6269747599,24.424742620456353,NC
189312.49684391747,229990.37536652395,21.4871596966703,TX
200026.44222246704,447132.9097338939,123.5369008046436,FL
776590.4889806104,1401326.267938147,80.44597349854163,CA
198188.0841933987,386919.8637878316,95.22862101551068,AZ
162198.1793487976,202056.0376789173,24.573554703353185,OH
267074.76714166714,738811.2569570431,176.63087189556475,FL
181499.39510240583,233475.7711679718,28.637217240443036,KY
148874.78456863062,207780.38446087227,39.56721083622219,TX
336790.49130840995,472338.526698054,40.2469900094413,CO
457239.1340380391,837358.6325837901,83.13363188946286,WA
296897.3370940032,537085.0072628794,80.89923355992524,OR
248283.42579149464,333418.6518272988,34.289532522923906,TN
336414.1152982328,769017.9723308681,128.59265927326794,DC
210710.4467857053,524257.5394827735,148.80472111377983,CA
406730.2387455436,705914.7894612824,73.55847247514662,MA
100372.55761698767,149538.15821100815,48.983110285613954,MI
144722.92278421496,195474.0467756514,35.06778540335831,PA
149214.31026618317,175722.428103138,17.765131098798115,TN
175666.2062434514,453137.3143107593,157.95360644537837,CA
137209.74684435112,279728.2754361222,103.8690995862285,MD
220275.0331437504,265432.0155677979,20.50027267256307,NE
364361.3999957383,514149.3521867141,41.10972023730499,GA
134006.98090002296,220275.87703905845,64.37641946683146,WI
146237.37596487845,198002.6038308161,35.39808309906356,OK
312845.6588691285,402454.2688854306,28.643072862260087,NC
224727.0284044229,442890.1802633057,97.07917797331989,AZ
269257.4461405685,375825.7765526821,39.57860105249551,CO
106072.01875008654,123111.6075739469,16.06416944322222,NY
177377.44069775735,237571.69441780192,33.93568735869443,MO
209369.44430118552,271810.6594861234,29.82346129510376,OH
348239.4916154723,897029.2331048893,157.58974921069355,CA
219763.56829766577,487821.3220002966,121.97551931790235,VA
190627.6520992668,488951.9291435554,156.49580412863725,CA
216659.60437495,502150.2854998072,131.76922479318688,FL
393953.9979571952,926707.0128937596,135.23229049561527,CA
172748.19645453338,209106.32415081697,21.046892785276007,OK
206594.48635697973,392044.708161924,89.76532969253603,MN
288769.45985894965,369297.48160655407,27.886613005038207,CO
235147.04396451023,275634.85630851955,17.21808263518718,TX
434231.0677045971,938231.7531133424,116.06739427304448,HI
206554.3015443963,291350.95312782703,41.052958446960616,TN
196863.32391242372,229836.5679403958,16.74930777997048,TX
227218.92180054303,303915.4073393962,33.7544448019953,LA
126606.27490710828,151476.5608877025,19.643802014427546,OH
245134.5469983132,674331.4674222079,175.08626412696051,CA
315343.03348889167,840865.916587615,166.65117896674118,CA
276193.27977764484,473275.32564677024,71.35656813510829,WA
209123.8166362953,559477.6327360629,167.53415356276574,CA
300318.0064831141,412852.94114594994,37.47192383856055,GA
182128.48924283,237810.84004288985,30.57311408640697,SC
206730.90861938172,250617.70309500524,21.228946735016187,NC
207653.3835510421,290516.56861213286,39.90456771956361,KY
381370.4045394922,908234.6087971051,138.1502596914424,FL
306995.2431555254,661356.7526202988,115.42899030694488,NV
142954.4204902446,242772.3147833642,69.824979144266,MO
259740.55218361237,773078.0208032778,197.634702900294,CA
278324.18017956574,659440.043218079,136.93235808424177,MD
188194.86102465465,346729.14488218195,84.23943299746021,MN
208819.8822300349,341813.8429712119,63.68836114689094,WA
252461.0672784594,586281.6000722355,132.22653947888875,NJ
333694.85251120897,687819.8070460497,106.12239052232475,NV
159341.60195072534,385570.8363367999,141.97750720244017,FL
513439.0433970008,1215068.9681188045,136.65301338980763,CA
197159.70004430707,248186.31106161853,25.88085242868823,NE
109351.62395832884,140323.94372984592,28.32360293370664,OH
275781.2035453704,553424.4010804343,100.67517073888874,AZ
197671.69175275823,365464.46090730216,84.88457182043751,FL
241526.5272429038,622343.2764130092,157.67077576001293,NJ
377212.7396874511,430063.6209330559,14.010895095800757,TX
140519.36016910532,196008.92194275768,39.48890865064752,TX
231169.7691838065,599036.4087092675,159.13267587898346,CA
272824.38010789827,312531.7459732808,14.554185314992306,TX
257495.7612558381,333479.4036803948,29.508696397166023,GA
313783.22941823845,783843.0996221531,149.80401313206468,CA
182215.6618517104,341238.7736037481,87.27192280620362,VA
281294.0217515408,569122.2471272991,102.3229088138919,AZ
187258.5952223855,234206.0250615511,25.07090784452992,NC
226514.49390222205,355278.1465259496,56.84565716104244,WI
229387.62602539436,480689.6456666365,109.55343319757876,NV
171708.03591821677,518389.46319853485,201.90169052160135,CA
146516.31514267778,286199.8452304715,95.33650225353385,FL
238872.51965000556,519857.9740362868,117.62987839621708,FL
259580.59032590908,316558.2940767415,21.94990915125652,TX
161663.67375096673,226394.28411979624,40.04029406664553,AL
205818.7342100705,430754.8804923242,109.28847033558706,AZ
162507.84844536058,261314.98747547343,60.80145665292862,FL
230459.6643797032,408869.1455349703,77.41462335088767,AK
204505.69834634315,434367.54927630565,112.39875112950503,VA
